player.id,short_name,role,xD,danger_pass,minutes,xD_per_90,danger_pass_per_90,xD_rank,danger_pass_rank
61941,F. Forster,Goalkeeper,0.05605652952304804,21,90.0,7.214482564098847e-05,0.02702702702702703,42.0,8.0
8156,J. Steele,Goalkeeper,0.008776535943711994,4,90.0,4.98666814983636e-05,0.022727272727272728,43.0,19.0
8360,C. Dawson,Defender,3.321139659823079,330,6.0,3.8629406389522266e-05,0.0038383523170541323,178.0,172.0
386020,G. Edmundson,Defender,0.0,0,1.0,0.0,0.0,179.0,177.5
397163,A. Tuanzebe,Defender,9.48715760502804,682,74.0,-0.00018125248302562177,-0.01302963422447631,180.0,183.0
8136,J. Stephens,Defender,9.990092587306036,684,90.0,-0.0005587403724487482,-0.03825574301889463,181.0,184.0
337003,J. Aribo,Midfielder,29.655562590090415,1696,71.0,-0.0008450449180674738,-0.04832807257284495,162.0,164.0
349142,N. Mazraoui,Defender,43.090020849691946,3145,81.0,-0.0008933095429516329,-0.06519974827542861,182.0,185.0
631619,C. Bradley,Defender,9.256061464298098,627,14.0,-0.0010030181599751304,-0.06794384293256171,183.0,186.0
847422,R. Esse,Midfielder,0.5138913090483981,42,8.0,-0.0010675825704449424,-0.08725282402949676,163.0,165.0
293687,D. Calvert-Lewin,Forward,11.23193624947133,572,76.0,-0.0013602079168056442,-0.06927024077878378,134.0,136.0
658798,R. Lewis,Defender,39.998895572515245,2016,90.0,-0.0014456114281979461,-0.07286082771869386,184.0,187.0
245996,P. Onuachu,Forward,7.366273303674914,400,16.0,-0.0016012167937160984,-0.08694854115267633,135.0,137.0
633277,B. El Khannouss,Midfielder,41.0492839247201,2720,22.0,-0.001601517980109686,-0.10611948588158107,164.0,166.0
732238,A. Scott,Midfielder,7.696294705984206,580,63.0,-0.0019504217044706356,-0.14698561214312345,165.0,167.0
693147,A. Pond,Defender,0.0001621143803957473,0,-7.0,-0.0020843277479453224,0.0,185.0,177.5
911027,Vitor Reis,Defender,7.032573967041331e-05,0,-1.0,-0.0021097721901123996,0.0,186.0,177.5
25486,W. Boly,Defender,0.09731410771077119,0,90.0,-0.0021631902474044847,0.0,187.0,177.5
234399,A. Webster,Defender,5.794820597561332,378,14.0,-0.0026856896493611627,-0.17518932128558876,188.0,188.0
508021,Jorge Cuenca,Defender,0.4323812445373732,48,-2.0,-0.0028457177263117306,-0.31591206276560974,189.0,189.0
961676,Y. Konak,Midfielder,0.20962174975379086,0,11.0,-0.003285066269679141,0.0,166.0,158.5
25571,J. Ayew,Forward,21.022007338538742,1116,20.0,-0.0035860677588837055,-0.190374380260891,136.0,139.0
488711,B. Brereton Díaz,Forward,3.144001585183602,100,71.0,-0.0038259565326220226,-0.12169066805348307,137.0,138.0
644809,Matheus França,Midfielder,0.17407926881696867,8,15.0,-0.0070518222321688685,-0.3240740740740741,167.0,168.0
8319,J. Milner,Midfielder,0.3312674374660116,24,82.0,-0.007121448787824074,-0.5159419598109876,168.0,171.0
635038,H. Elliott,Midfielder,7.178564602260953,522,7.0,-0.007418166161016511,-0.5394229836464812,169.0,172.0
504249,Jota Silva,Forward,12.859197547860955,620,-2.0,-0.0078324823081125,-0.37763935214118705,138.0,140.0
584520,Nico González,Midfielder,7.15140401945653,341,90.0,-0.007872062233345224,-0.37536310551990326,170.0,169.0
661732,Savinho,Forward,58.67446402274942,2929,46.0,-0.009940317761427802,-0.49621570828381845,139.0,141.0
8240,S. Coleman,Defender,0.29894064902330375,20,90.0,-0.011561869306259253,-0.7735227272727273,190.0,191.0
447408,K. Dewsbury-Hall,Midfielder,2.212026835982652,78,23.0,-0.013702539791674354,-0.48317592099908047,171.0,170.0
776857,T. George,Forward,0.8979459438343407,56,6.0,-0.013985488036974863,-0.8721987503237503,140.0,142.0
835236,Gustavo Nunes,Forward,0.003398215878940891,0,-1.0,-0.016165124146350764,0.0,141.0,130.5
653894,Kim Ji-Soo,Defender,0.05416903496430553,3,13.0,-0.01784266043202963,-0.9881656804733728,191.0,193.0
284992,H. Toffolo,Defender,0.16921741229504442,8,36.0,-0.018508154469770485,-0.875,192.0,192.0
503347,W. Coulibaly,Defender,0.24924377772493586,4,-1.0,-0.029070040202802173,-0.46653185035389283,193.0,190.0
911156,Pedro Lima,Defender,0.22210621390139718,9,60.0,-0.02935886735478238,-1.1896551724137931,194.0,194.0
724763,Z. Silcott-Duberry,Midfielder,0.0013587602471828214,0,-2.0,-0.03057210556161348,0.0,172.0,158.5
619725,O. Bobb,Forward,0.0760021702925721,3,5.0,-0.036643903533918686,-1.4464285714285714,142.0,143.0
956089,B. Winterburn,Midfielder,0.05613501898314505,4,9.0,-0.04197596285569998,-2.9910714285714284,173.0,173.0
827867,W. Lankshear,Forward,0.001792737561132978,0,-1.0,-0.161346380501968,0.0,143.0,130.5
